"company","role","skills","demand","yoy","location","salary_min","salary_max"
"TCS","Backend Engineer","Java,Spring Boot,Microservices,AWS,Kafka,MySQL","88","10","Bengaluru","1200000","2800000"
"Infosys","Cloud Engineer","Azure,Terrainform,Docker,Kubernetes,CI/CD,Python","85","11","Pune","1100000","2600000"
"Wipro","Frontend Engineer","React,TypeScript,Next.js,Redux,CSS,JavaScript","82","6","Hyderabad","1000000","2200000"
"HCLTech","Data Engineer","Spark,Python,Airflow,SQL,Hadoop,ETL","86","12","Noida","1300000","2700000"
"Tech Mahindra","DevOps Engineer","AWS,Kubernetes,Docker,Jenkins,Terraform,Linux","84","9","Pune","1200000","2500000"
"LTIMindtree","AI Engineer","Python,PyTorch,TensorFlow,LLMs,MLOps,Transformers","92","18","Bengaluru","1600000","3500000"
"Persistent Systems","Backend Developer","Node.js,Express,MongoDB,REST APIs,Redis,Docker","83","7","Pune","1000000","2300000"
"Coforge","Cloud Architect","AWS,Azure,Kubernetes,Terraform,Microservices,DevOps","89","15","Noida","1800000","3800000"
"Mphasis","Security Engineer","SIEM,Zero Trust,Python,Cloud Security,Penetration Testing","87","16","Bengaluru","1500000","3200000"
"Oracle India","Database Engineer","Oracle SQL,PL/SQL,Performance Tuning,Linux,Replication","84","8","Hyderabad","1400000","3000000"
"Google India","ML Engineer","Python,PyTorch,LLMs,MLOps,Kubernetes,CUDA","97","21","Bengaluru","2500000","6000000"
"Microsoft India","Cloud Engineer","Azure,Kubernetes,Docker,Terraform,DevOps,Python","91","14","Hyderabad","2200000","5000000"
"Amazon India","Backend Engineer","Java,Spring Boot,AWS,Kafka,Microservices,DynamoDB","93","13","Bengaluru","2400000","5200000"
"Flipkart","Data Scientist","Python,Machine Learning,SQL,TensorFlow,Statistics,Airflow","90","17","Bengaluru","1800000","4200000"
"Swiggy","Backend Engineer","Go,Kafka,Redis,PostgreSQL,Microservices,Docker","88","12","Bengaluru","1700000","3800000"
"Zomato","Frontend Engineer","React,TypeScript,Redux,CSS,Next.js,JavaScript","84","7","Gurugram","1400000","3200000"
"Paytm","FinTech Engineer","Java,Microservices,AWS,Security,Kafka,Redis","87","11","Noida","1500000","3500000"
"PhonePe","Platform Engineer","Go,Kubernetes,Docker,Cloud,Terraform,CI/CD","91","15","Bengaluru","2000000","4500000"
"Razorpay","API Developer","Node.js,Express,JWT,MongoDB,Redis,Docker","86","10","Bengaluru","1600000","3600000"
"CRED","Security Engineer","Cloud Security,Zero Trust,SIEM,Python,Kubernetes","89","18","Bengaluru","2200000","4800000"
"Freshworks","Full Stack Engineer","React,Node.js,MongoDB,GraphQL,TypeScript","85","9","Chennai","1500000","3400000"
"Zoho","Web Developer","HTML,CSS,JavaScript,React,REST APIs,Node.js","80","5","Chennai","900000","2000000"
"BYJU'S","Frontend Developer","React,Redux,TypeScript,CSS,Next.js,JavaScript","78","4","Bengaluru","1000000","2400000"
"Unacademy","Backend Engineer","Java,Spring Boot,MySQL,Kafka,Microservices,Redis","83","8","Bengaluru","1400000","3200000"
"Ola","Cloud Infrastructure Engineer","AWS,Kubernetes,Terraform,Linux,Docker,Monitoring","86","11","Bengaluru","1600000","3600000"
"Meesho","Data Engineer","Spark,Python,Airflow,BigQuery,SQL,ETL","87","13","Bengaluru","1700000","3900000"
"Groww","Backend Engineer","Java,Spring Boot,Redis,Kafka,Microservices,AWS","89","12","Bengaluru","1800000","4000000"
"Upstox","DevOps Engineer","Kubernetes,Docker,AWS,Jenkins,Terraform,CI/CD","85","10","Mumbai","1600000","3500000"
